model_name,input_tokens,output_tokens,num_requests,concurrent_requests,qps,qps_distribution,multimodal_img_size
Llama-3.1-EIRAI-8B,8000,100,1,1,,,
Llama-3.1-EIRAI-8B,8000,100,3,3,,,
Llama-3.1-EIRAI-8B,8000,100,5,5,,,
Llama-3.1-EIRAI-8B,8000,100,9,9,,,
Llama-3.1-EIRAI-8B,8000,100,16,16,,,
Llama-3.1-EIRAI-8B,16000,100,3,3,,,
Llama-3.1-EIRAI-8B,16000,100,9,9,,,
Llama-3.1-EIRAI-8B,16000,100,16,16,,,
Llama-3.1-EIRAI-8B,32000,100,3,3,,,
Llama-3.1-EIRAI-8B,32000,100,5,5,,,
Llama-3.1-EIRAI-8B,32000,100,9,9,,,
Llama-3.1-EIRAI-8B,32000,100,16,16,,,
Llama-3.1_OpenScholar-8B,3900,100,1,1,,,
Llama-3.1_OpenScholar-8B,3900,100,3,3,,,
Llama-3.1_OpenScholar-8B,3900,100,5,5,,,
Llama-3.1_OpenScholar-8B,3900,100,9,9,,,
Llama-3.1_OpenScholar-8B,3900,100,16,16,,,
Llama-3.1_OpenScholar-8B,8000,100,1,1,,,
Llama-3.1_OpenScholar-8B,8000,100,3,3,,,
Llama-3.1_OpenScholar-8B,8000,100,5,5,,,
Llama-3.1_OpenScholar-8B,8000,100,9,9,,,
Llama-3.1_OpenScholar-8B,8000,100,16,16,,,
Llama-3.1_OpenScholar-8B,16000,100,3,3,,,
Llama-3.1_OpenScholar-8B,16000,100,9,9,,,
Llama-3.1_OpenScholar-8B,16000,100,16,16,,,
Llama-3.1_OpenScholar-8B,32000,100,3,3,,,
Llama-3.1_OpenScholar-8B,32000,100,5,5,,,
Llama-3.1_OpenScholar-8B,32000,100,9,9,,,
Llama-3.1_OpenScholar-8B,32000,100,16,16,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,1,1,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,3,3,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,5,5,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,9,9,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,16,16,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,1,1,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,3,3,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,5,5,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,9,9,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,16,16,,,
natsumura-assistant-1.0-llama-3.1-8b,16000,100,3,3,,,
natsumura-assistant-1.0-llama-3.1-8b,16000,100,9,9,,,
natsumura-assistant-1.0-llama-3.1-8b,16000,100,16,16,,,
natsumura-assistant-1.0-llama-3.1-8b,32000,100,3,3,,,
natsumura-assistant-1.0-llama-3.1-8b,32000,100,5,5,,,
natsumura-assistant-1.0-llama-3.1-8b,32000,100,9,9,,,
natsumura-assistant-1.0-llama-3.1-8b,32000,100,16,16,,,
llama-3.1-tulu-2-8b,3900,100,1,1,,,
llama-3.1-tulu-2-8b,3900,100,3,3,,,
llama-3.1-tulu-2-8b,3900,100,5,5,,,
llama-3.1-tulu-2-8b,3900,100,9,9,,,
llama-3.1-tulu-2-8b,3900,100,16,16,,,
llama-3.1-tulu-2-8b,8000,100,1,1,,,
llama-3.1-tulu-2-8b,8000,100,3,3,,,
llama-3.1-tulu-2-8b,8000,100,5,5,,,
llama-3.1-tulu-2-8b,8000,100,9,9,,,
llama-3.1-tulu-2-8b,8000,100,16,16,,,
llama-3.1-tulu-2-8b,16000,100,3,3,,,
llama-3.1-tulu-2-8b,16000,100,9,9,,,
llama-3.1-tulu-2-8b,16000,100,16,16,,,
llama-3.1-tulu-2-8b,32000,100,3,3,,,
llama-3.1-tulu-2-8b,32000,100,5,5,,,
llama-3.1-tulu-2-8b,32000,100,9,9,,,
llama-3.1-tulu-2-8b,32000,100,16,16,,,
narrativAIV2,3900,100,1,1,,,
narrativAIV2,3900,100,3,3,,,
narrativAIV2,3900,100,5,5,,,
narrativAIV2,3900,100,9,9,,,
narrativAIV2,3900,100,16,16,,,
narrativAIV2,8000,100,1,1,,,
narrativAIV2,8000,100,3,3,,,
narrativAIV2,8000,100,5,5,,,
narrativAIV2,8000,100,9,9,,,
narrativAIV2,8000,100,16,16,,,
narrativAIV2,16000,100,3,3,,,
narrativAIV2,16000,100,9,9,,,
narrativAIV2,16000,100,16,16,,,
narrativAIV2,32000,100,3,3,,,
narrativAIV2,32000,100,5,5,,,
narrativAIV2,32000,100,9,9,,,
narrativAIV2,32000,100,16,16,,,
Llama-3.1-Storm-8B,3900,100,1,1,,,
Llama-3.1-Storm-8B,3900,100,3,3,,,
Llama-3.1-Storm-8B,3900,100,5,5,,,
Llama-3.1-Storm-8B,3900,100,9,9,,,
Llama-3.1-Storm-8B,3900,100,16,16,,,
Llama-3.1-Storm-8B,8000,100,1,1,,,
Llama-3.1-Storm-8B,8000,100,3,3,,,
Llama-3.1-Storm-8B,8000,100,5,5,,,
Llama-3.1-Storm-8B,8000,100,9,9,,,
Llama-3.1-Storm-8B,8000,100,16,16,,,
Llama-3.1-Storm-8B,16000,100,3,3,,,
Llama-3.1-Storm-8B,16000,100,9,9,,,
Llama-3.1-Storm-8B,16000,100,16,16,,,
Llama-3.1-Storm-8B,32000,100,3,3,,,
Llama-3.1-Storm-8B,32000,100,5,5,,,
Llama-3.1-Storm-8B,32000,100,9,9,,,
Llama-3.1-Storm-8B,32000,100,16,16,,,
DMind-1,8000,100,1,1,,,
DMind-1,8000,100,5,5,,,
DMind-1,16000,100,1,1,,,
DMind-1,32000,100,1,1,,,
DMind-1,32000,100,3,3,,,
DMind-1,32000,100,5,5,,,
DMind-1,32000,100,9,9,,,
DeepSWE-Preview,8000,100,1,1,,,
DeepSWE-Preview,8000,100,5,5,,,
DeepSWE-Preview,16000,100,1,1,,,
DeepSWE-Preview,32000,100,1,1,,,
DeepSWE-Preview,32000,100,3,3,,,
DeepSWE-Preview,32000,100,5,5,,,
DeepSWE-Preview,32000,100,9,9,,,
Gazal-R1-32B-sft-merged-preview,8000,100,1,1,,,
Gazal-R1-32B-sft-merged-preview,8000,100,5,5,,,
Gazal-R1-32B-sft-merged-preview,16000,100,1,1,,,
Gazal-R1-32B-sft-merged-preview,32000,100,1,1,,,
Gazal-R1-32B-sft-merged-preview,32000,100,3,3,,,
Gazal-R1-32B-sft-merged-preview,32000,100,5,5,,,
Gazal-R1-32B-sft-merged-preview,32000,100,9,9,,,
INFIndo-Qwen3-32B-Preview,8000,100,1,1,,,
INFIndo-Qwen3-32B-Preview,8000,100,5,5,,,
INFIndo-Qwen3-32B-Preview,16000,100,1,1,,,
INFIndo-Qwen3-32B-Preview,32000,100,1,1,,,
INFIndo-Qwen3-32B-Preview,32000,100,3,3,,,
INFIndo-Qwen3-32B-Preview,32000,100,5,5,,,
INFIndo-Qwen3-32B-Preview,32000,100,9,9,,,
Qwen3-32B-abliterated,8000,100,1,1,,,
Qwen3-32B-abliterated,8000,100,5,5,,,
Qwen3-32B-abliterated,16000,100,1,1,,,
Qwen3-32B-abliterated,32000,100,1,1,,,
Qwen3-32B-abliterated,32000,100,3,3,,,
Qwen3-32B-abliterated,32000,100,5,5,,,
Qwen3-32B-abliterated,32000,100,9,9,,,
Qwen3-32B-bf16,8000,100,1,1,,,
Qwen3-32B-bf16,8000,100,5,5,,,
Qwen3-32B-bf16,16000,100,1,1,,,
Qwen3-32B-bf16,32000,100,1,1,,,
Qwen3-32B-bf16,32000,100,3,3,,,
Qwen3-32B-bf16,32000,100,5,5,,,
Qwen3-32B-bf16,32000,100,9,9,,,
Qwen3-32B-Copy,8000,100,1,1,,,
Qwen3-32B-Copy,8000,100,5,5,,,
Qwen3-32B-Copy,16000,100,1,1,,,
Qwen3-32B-Copy,32000,100,1,1,,,
Qwen3-32B-Copy,32000,100,3,3,,,
Qwen3-32B-Copy,32000,100,5,5,,,
Qwen3-32B-Copy,32000,100,9,9,,,
Smoothie-Qwen3-32B,8000,100,1,1,,,
Smoothie-Qwen3-32B,8000,100,5,5,,,
Smoothie-Qwen3-32B,16000,100,1,1,,,
Smoothie-Qwen3-32B,32000,100,1,1,,,
Smoothie-Qwen3-32B,32000,100,3,3,,,
Smoothie-Qwen3-32B,32000,100,5,5,,,
Smoothie-Qwen3-32B,32000,100,9,9,,,
UIGEN-T3-32B-Preview,8000,100,1,1,,,
UIGEN-T3-32B-Preview,8000,100,5,5,,,
UIGEN-T3-32B-Preview,16000,100,1,1,,,
UIGEN-T3-32B-Preview,32000,100,1,1,,,
UIGEN-T3-32B-Preview,32000,100,3,3,,,
UIGEN-T3-32B-Preview,32000,100,5,5,,,
UIGEN-T3-32B-Preview,32000,100,9,9,,,
14B-Qwen2.5-Freya-x1,3900,100,1,1,,,
14B-Qwen2.5-Freya-x1,3900,100,5,5,,,
14B-Qwen2.5-Freya-x1,3900,100,9,9,,,
14B-Qwen2.5-Freya-x1,8000,100,1,1,,,
14B-Qwen2.5-Freya-x1,8000,100,5,5,,,
14B-Qwen2.5-Freya-x1,8000,100,9,9,,,
EVA-Qwen2.5-14B-v0.0,3900,100,1,1,,,
EVA-Qwen2.5-14B-v0.0,3900,100,5,5,,,
EVA-Qwen2.5-14B-v0.0,3900,100,9,9,,,
EVA-Qwen2.5-14B-v0.0,8000,100,1,1,,,
EVA-Qwen2.5-14B-v0.0,8000,100,5,5,,,
EVA-Qwen2.5-14B-v0.0,8000,100,9,9,,,
General-Reasoner-Qwen2.5-14B,3900,100,1,1,,,
General-Reasoner-Qwen2.5-14B,3900,100,5,5,,,
General-Reasoner-Qwen2.5-14B,3900,100,9,9,,,
General-Reasoner-Qwen2.5-14B,8000,100,1,1,,,
General-Reasoner-Qwen2.5-14B,8000,100,5,5,,,
General-Reasoner-Qwen2.5-14B,8000,100,9,9,,,
Qwen2.5-Coder-14B,3900,100,1,1,,,
Qwen2.5-Coder-14B,3900,100,5,5,,,
Qwen2.5-Coder-14B,3900,100,9,9,,,
Qwen2.5-Coder-14B,8000,100,1,1,,,
Qwen2.5-Coder-14B,8000,100,5,5,,,
Qwen2.5-Coder-14B,8000,100,9,9,,,
SauerkrautLM-v2-14b-SFT,3900,100,1,1,,,
SauerkrautLM-v2-14b-SFT,3900,100,5,5,,,
SauerkrautLM-v2-14b-SFT,3900,100,9,9,,,
SauerkrautLM-v2-14b-SFT,8000,100,1,1,,,
SauerkrautLM-v2-14b-SFT,8000,100,5,5,,,
SauerkrautLM-v2-14b-SFT,8000,100,9,9,,,
SuperNova-Medius,3900,100,1,1,,,
SuperNova-Medius,3900,100,5,5,,,
SuperNova-Medius,3900,100,9,9,,,
SuperNova-Medius,8000,100,1,1,,,
SuperNova-Medius,8000,100,5,5,,,
SuperNova-Medius,8000,100,9,9,,,
Tsunami-1.0-14B-Instruct,3900,100,1,1,,,
Tsunami-1.0-14B-Instruct,3900,100,5,5,,,
Tsunami-1.0-14B-Instruct,3900,100,9,9,,,
Tsunami-1.0-14B-Instruct,8000,100,1,1,,,
Tsunami-1.0-14B-Instruct,8000,100,5,5,,,
Tsunami-1.0-14B-Instruct,8000,100,9,9,,,
Virtuoso-Small,3900,100,1,1,,,
Virtuoso-Small,3900,100,5,5,,,
Virtuoso-Small,3900,100,9,9,,,
Virtuoso-Small,8000,100,1,1,,,
Virtuoso-Small,8000,100,5,5,,,
Virtuoso-Small,8000,100,9,9,,,
legml-v0.1,3900,100,1,1,,,
legml-v0.1,3900,100,5,5,,,
legml-v0.1,3900,100,9,9,,,
legml-v0.1,8000,100,1,1,,,
legml-v0.1,8000,100,5,5,,,
legml-v0.1,8000,100,9,9,,,
Meta-Llama-3.1-8B-Instruct,3900,100,10,1,,,
Meta-Llama-3.1-8B-Instruct,3900,100,30,3,,,
Meta-Llama-3.1-8B-Instruct,3900,100,50,5,,,
Meta-Llama-3.1-8B-Instruct,3900,100,90,9,,,
Meta-Llama-3.1-8B-Instruct,3900,100,160,16,,,
Meta-Llama-3.1-8B-Instruct,8000,100,10,1,,,
Meta-Llama-3.1-8B-Instruct,8000,100,30,3,,,
Meta-Llama-3.1-8B-Instruct,8000,100,50,5,,,
Meta-Llama-3.1-8B-Instruct,8000,100,90,9,,,
Meta-Llama-3.1-8B-Instruct,8000,100,160,16,,,
Meta-Llama-3.1-8B-Instruct,16000,100,30,3,,,
Meta-Llama-3.1-8B-Instruct,16000,100,90,9,,,
Meta-Llama-3.1-8B-Instruct,16000,100,160,16,,,
Meta-Llama-3.1-8B-Instruct,32000,100,30,3,,,
Meta-Llama-3.1-8B-Instruct,32000,100,50,5,,,
Meta-Llama-3.1-8B-Instruct,32000,100,90,9,,,
Meta-Llama-3.1-8B-Instruct,32000,100,160,16,,,
Hermes-3-Llama-3.1-8B,3900,100,10,1,,,
Hermes-3-Llama-3.1-8B,3900,100,30,3,,,
Hermes-3-Llama-3.1-8B,3900,100,50,5,,,
Hermes-3-Llama-3.1-8B,3900,100,90,9,,,
Hermes-3-Llama-3.1-8B,3900,100,160,16,,,
Hermes-3-Llama-3.1-8B,8000,100,10,1,,,
Hermes-3-Llama-3.1-8B,8000,100,30,3,,,
Hermes-3-Llama-3.1-8B,8000,100,50,5,,,
Hermes-3-Llama-3.1-8B,8000,100,90,9,,,
Hermes-3-Llama-3.1-8B,8000,100,160,16,,,
Hermes-3-Llama-3.1-8B,16000,100,30,3,,,
Hermes-3-Llama-3.1-8B,16000,100,90,9,,,
Hermes-3-Llama-3.1-8B,16000,100,160,16,,,
Hermes-3-Llama-3.1-8B,32000,100,30,3,,,
Hermes-3-Llama-3.1-8B,32000,100,50,5,,,
Hermes-3-Llama-3.1-8B,32000,100,90,9,,,
Hermes-3-Llama-3.1-8B,32000,100,160,16,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,10,1,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,30,3,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,50,5,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,90,9,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,3900,100,160,16,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,10,1,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,30,3,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,50,5,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,90,9,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,8000,100,160,16,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,16000,100,30,3,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,16000,100,90,9,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,16000,100,160,16,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,32000,100,30,3,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,32000,100,50,5,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,32000,100,90,9,,,
LLaMa3.1-8B-Legal-ThaiCCL-Combine,32000,100,160,16,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,10,1,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,30,3,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,50,5,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,90,9,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,3900,100,160,16,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,10,1,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,30,3,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,50,5,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,90,9,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,8000,100,160,16,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,16000,100,30,3,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,16000,100,90,9,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,16000,100,160,16,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,32000,100,30,3,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,32000,100,50,5,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,32000,100,90,9,,,
Llama-3.1-8B-Magpie-Align-SFT-v0.2,32000,100,160,16,,,
Llama-3.1-EIRAI-8B,3900,100,10,1,,,
Llama-3.1-EIRAI-8B,3900,100,30,3,,,
Llama-3.1-EIRAI-8B,3900,100,50,5,,,
Llama-3.1-EIRAI-8B,3900,100,90,9,,,
Llama-3.1-EIRAI-8B,3900,100,160,16,,,
Llama-3.1-EIRAI-8B,8000,100,10,1,,,
Llama-3.1-EIRAI-8B,8000,100,30,3,,,
Llama-3.1-EIRAI-8B,8000,100,50,5,,,
Llama-3.1-EIRAI-8B,8000,100,90,9,,,
Llama-3.1-EIRAI-8B,8000,100,160,16,,,
Llama-3.1-EIRAI-8B,16000,100,30,3,,,
Llama-3.1-EIRAI-8B,16000,100,90,9,,,
Llama-3.1-EIRAI-8B,16000,100,160,16,,,
Llama-3.1-EIRAI-8B,32000,100,30,3,,,
Llama-3.1-EIRAI-8B,32000,100,50,5,,,
Llama-3.1-EIRAI-8B,32000,100,90,9,,,
Llama-3.1-EIRAI-8B,32000,100,160,16,,,
Llama-3.1_OpenScholar-8B,3900,100,10,1,,,
Llama-3.1_OpenScholar-8B,3900,100,30,3,,,
Llama-3.1_OpenScholar-8B,3900,100,50,5,,,
Llama-3.1_OpenScholar-8B,3900,100,90,9,,,
Llama-3.1_OpenScholar-8B,3900,100,160,16,,,
Llama-3.1_OpenScholar-8B,8000,100,10,1,,,
Llama-3.1_OpenScholar-8B,8000,100,30,3,,,
Llama-3.1_OpenScholar-8B,8000,100,50,5,,,
Llama-3.1_OpenScholar-8B,8000,100,90,9,,,
Llama-3.1_OpenScholar-8B,8000,100,160,16,,,
Llama-3.1_OpenScholar-8B,16000,100,30,3,,,
Llama-3.1_OpenScholar-8B,16000,100,90,9,,,
Llama-3.1_OpenScholar-8B,16000,100,160,16,,,
Llama-3.1_OpenScholar-8B,32000,100,30,3,,,
Llama-3.1_OpenScholar-8B,32000,100,50,5,,,
Llama-3.1_OpenScholar-8B,32000,100,90,9,,,
Llama-3.1_OpenScholar-8B,32000,100,160,16,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,10,1,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,30,3,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,50,5,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,90,9,,,
natsumura-assistant-1.0-llama-3.1-8b,3900,100,160,16,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,10,1,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,30,3,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,50,5,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,90,9,,,
natsumura-assistant-1.0-llama-3.1-8b,8000,100,160,16,,,
natsumura-assistant-1.0-llama-3.1-8b,16000,100,30,3,,,
natsumura-assistant-1.0-llama-3.1-8b,16000,100,90,9,,,
natsumura-assistant-1.0-llama-3.1-8b,16000,100,160,16,,,
natsumura-assistant-1.0-llama-3.1-8b,32000,100,30,3,,,
natsumura-assistant-1.0-llama-3.1-8b,32000,100,50,5,,,
natsumura-assistant-1.0-llama-3.1-8b,32000,100,90,9,,,
natsumura-assistant-1.0-llama-3.1-8b,32000,100,160,16,,,
llama-3.1-tulu-2-8b,3900,100,10,1,,,
llama-3.1-tulu-2-8b,3900,100,30,3,,,
llama-3.1-tulu-2-8b,3900,100,50,5,,,
llama-3.1-tulu-2-8b,3900,100,90,9,,,
llama-3.1-tulu-2-8b,3900,100,160,16,,,
llama-3.1-tulu-2-8b,8000,100,10,1,,,
llama-3.1-tulu-2-8b,8000,100,30,3,,,
llama-3.1-tulu-2-8b,8000,100,50,5,,,
llama-3.1-tulu-2-8b,8000,100,90,9,,,
llama-3.1-tulu-2-8b,8000,100,160,16,,,
llama-3.1-tulu-2-8b,16000,100,30,3,,,
llama-3.1-tulu-2-8b,16000,100,90,9,,,
llama-3.1-tulu-2-8b,16000,100,160,16,,,
llama-3.1-tulu-2-8b,32000,100,30,3,,,
llama-3.1-tulu-2-8b,32000,100,50,5,,,
llama-3.1-tulu-2-8b,32000,100,90,9,,,
llama-3.1-tulu-2-8b,32000,100,160,16,,,
narrativAIV2,3900,100,10,1,,,
narrativAIV2,3900,100,30,3,,,
narrativAIV2,3900,100,50,5,,,
narrativAIV2,3900,100,90,9,,,
narrativAIV2,3900,100,160,16,,,
narrativAIV2,8000,100,10,1,,,
narrativAIV2,8000,100,30,3,,,
narrativAIV2,8000,100,50,5,,,
narrativAIV2,8000,100,90,9,,,
narrativAIV2,8000,100,160,16,,,
narrativAIV2,16000,100,30,3,,,
narrativAIV2,16000,100,90,9,,,
narrativAIV2,16000,100,160,16,,,
narrativAIV2,32000,100,30,3,,,
narrativAIV2,32000,100,50,5,,,
narrativAIV2,32000,100,90,9,,,
narrativAIV2,32000,100,160,16,,,
Llama-3.1-Storm-8B,3900,100,10,1,,,
Llama-3.1-Storm-8B,3900,100,30,3,,,
Llama-3.1-Storm-8B,3900,100,50,5,,,
Llama-3.1-Storm-8B,3900,100,90,9,,,
Llama-3.1-Storm-8B,3900,100,160,16,,,
Llama-3.1-Storm-8B,8000,100,10,1,,,
Llama-3.1-Storm-8B,8000,100,30,3,,,
Llama-3.1-Storm-8B,8000,100,50,5,,,
Llama-3.1-Storm-8B,8000,100,90,9,,,
Llama-3.1-Storm-8B,8000,100,160,16,,,
Llama-3.1-Storm-8B,16000,100,30,3,,,
Llama-3.1-Storm-8B,16000,100,90,9,,,
Llama-3.1-Storm-8B,16000,100,160,16,,,
Llama-3.1-Storm-8B,32000,100,30,3,,,
Llama-3.1-Storm-8B,32000,100,50,5,,,
Llama-3.1-Storm-8B,32000,100,90,9,,,
Llama-3.1-Storm-8B,32000,100,160,16,,,
DMind-1,8000,100,10,1,,,
DMind-1,8000,100,50,5,,,
DMind-1,16000,100,10,1,,,
DMind-1,32000,100,10,1,,,
DMind-1,32000,100,30,3,,,
DMind-1,32000,100,50,5,,,
DMind-1,32000,100,90,9,,,
DeepSWE-Preview,8000,100,10,1,,,
DeepSWE-Preview,8000,100,50,5,,,
DeepSWE-Preview,16000,100,10,1,,,
